address_id,postcode,state,country,property_valuation,house_number,street
0,2016,New South Wales,Australia,10,060,Morning Avenue
1,2153,New South Wales,Australia,10,6,Meadow Vale Court
2,4211,QLD,Australia,9,0,Holy Cross Court
3,2448,New South Wales,Australia,4,17979,Del Mar Point
4,3216,VIC,Australia,9,9,Oakridge Court
5,2210,New South Wales,Australia,9,4,Delaware Trail
6,2650,New South Wales,Australia,4,49,Londonderry Lane
7,2023,New South Wales,Australia,12,97736,7th Trail
8,3044,VIC,Australia,8,93405,Ludington Park
9,4557,QLD,Australia,4,44339,Golden Leaf Alley
10,3799,VIC,Australia,6,2,Sutherland Street
11,2760,New South Wales,Australia,8,9,Mcbride Trail
12,2428,New South Wales,Australia,9,9861,New Castle Avenue
13,3331,VIC,Australia,4,52,Moland Street
14,3058,VIC,Australia,9,82391,Kensington Lane
15,2135,New South Wales,Australia,12,092,2nd Alley
16,2233,New South Wales,Australia,9,59,Spaight Circle
17,2444,New South Wales,Australia,8,032,Bartelt Crossing
18,2650,New South Wales,Australia,7,18,Jenna Center
19,2153,New South Wales,Australia,10,3,Cordelia Plaza
20,4413,QLD,Australia,3,28,5th Center
21,4740,QLD,Australia,5,52,Carey Alley
22,3218,VIC,Australia,7,96,Texas Plaza
23,4868,QLD,Australia,4,48,Eagan Avenue
24,4116,QLD,Australia,7,9,Buell Park
25,2519,New South Wales,Australia,11,02663,Buell Parkway
26,2135,New South Wales,Australia,12,2294,Pleasure Place
27,2756,New South Wales,Australia,9,2951,Petterle Place
28,2170,New South Wales,Australia,9,63,Lukken Drive
29,4005,QLD,Australia,8,833,Luster Way
30,4127,QLD,Australia,6,34,Russell Plaza
31,2535,New South Wales,Australia,8,78,Del Sol Hill
32,4726,QLD,Australia,1,54,Sage Plaza
33,4805,QLD,Australia,4,90,Lawn Parkway
34,2212,New South Wales,Australia,10,38726,Ilene Crossing
35,2207,New South Wales,Australia,8,3496,Brown Drive
36,3350,VIC,Australia,9,7188,Cody Way
37,3931,VIC,Australia,10,1,Claremont Park
38,4018,QLD,Australia,8,60,Eagan Circle
39,4670,QLD,Australia,2,89314,Eagle Crest Center
40,2480,New South Wales,Australia,3,2028,Lakewood Place
41,3212,VIC,Australia,6,70875,Hudson Point
42,2322,New South Wales,Australia,4,543,Killdeer Park
43,3198,VIC,Australia,9,22125,Ramsey Drive
44,2210,New South Wales,Australia,9,3107,Calypso Terrace
45,2047,New South Wales,Australia,10,957,Veith Junction
46,4503,QLD,Australia,5,4853,Gulseth Avenue
47,2145,New South Wales,Australia,8,9,Michigan Terrace
48,4350,QLD,Australia,3,62,Steensland Road
49,2142,New South Wales,Australia,8,6,Homewood Avenue
50,2029,New South Wales,Australia,10,15,Almo Lane
51,2127,New South Wales,Australia,10,690,Glacier Hill Circle
52,4280,QLD,Australia,6,89787,Village Green Terrace
53,2166,New South Wales,Australia,9,18,Elgar Park
54,2046,New South Wales,Australia,9,413,Mayer Street
55,2026,New South Wales,Australia,10,39,3rd Drive
56,2765,New South Wales,Australia,7,44516,Katie Parkway
57,2749,New South Wales,Australia,8,41,Schurz Center
58,2745,New South Wales,Australia,9,68150,Boyd Road
59,3752,VIC,Australia,8,11474,Westend Hill
60,2153,New South Wales,Australia,10,308,Jana Crossing
61,2217,New South Wales,Australia,10,163,Straubel Trail
62,2230,New South Wales,Australia,10,68294,Clarendon Crossing
63,3046,VIC,Australia,7,486,Mariners Cove Plaza
64,3183,VIC,Australia,7,0322,Dryden Court
65,2070,New South Wales,Australia,12,9,Bonner Road
66,2213,New South Wales,Australia,10,07041,Briar Crest Lane
67,4208,QLD,Australia,6,29466,Hanson Pass
68,2774,New South Wales,Australia,8,0212,Forest Run Trail
69,4133,QLD,Australia,8,33055,Menomonie Parkway
70,2756,New South Wales,Australia,8,4763,Merchant Avenue
